# CP50221, section JIS X 0208, row 0x2D.
0x01	0x2460
0x02	0x2461
0x03	0x2462
0x04	0x2463
0x05	0x2464
0x06	0x2465
0x07	0x2466
0x08	0x2467
0x09	0x2468
0x0A	0x2469
0x0B	0x246A
0x0C	0x246B
0x0D	0x246C
0x0E	0x246D
0x0F	0x246E
0x10	0x246F
0x11	0x2470
0x12	0x2471
0x13	0x2472
0x14	0x2473
0x15	0x2160
0x16	0x2161
0x17	0x2162
0x18	0x2163
0x19	0x2164
0x1A	0x2165
0x1B	0x2166
0x1C	0x2167
0x1D	0x2168
0x1E	0x2169
0x20	0x3349
0x21	0x3314
0x22	0x3322
0x23	0x334D
0x24	0x3318
0x25	0x3327
0x26	0x3303
0x27	0x3336
0x28	0x3351
0x29	0x3357
0x2A	0x330D
0x2B	0x3326
0x2C	0x3323
0x2D	0x332B
0x2E	0x334A
0x2F	0x333B
0x30	0x339C
0x31	0x339D
0x32	0x339E
0x33	0x338E
0x34	0x338F
0x35	0x33C4
0x36	0x33A1
0x3F	0x337B
0x40	0x301E
0x41	0x301F
0x42	0x2116
0x43	0x33CD
0x44	0x2121
0x45	0x32A4
0x46	0x32A5
0x47	0x32A6
0x48	0x32A7
0x49	0x32A8
0x4A	0x3231
0x4B	0x3232
0x4C	0x3239
0x4D	0x337E
0x4E	0x337D
0x4F	0x337C
0x53	0x222E
0x54	0x2211
0x58	0x221F
0x59	0x22BF
