# CP50221, section JIS X 0212, rows 0x73..0x74.
0x01	0x2170
0x02	0x2171
0x03	0x2172
0x04	0x2173
0x05	0x2174
0x06	0x2175
0x07	0x2176
0x08	0x2177
0x09	0x2178
0x0A	0x2179
0x15	0xFF07
0x16	0xFF02
0x1A	0x70BB
0x1B	0x4EFC
0x1C	0x50F4
0x1D	0x51EC
0x1E	0x5307
0x1F	0x5324
0x20	0xFA0E
0x21	0x548A
0x22	0x5759
0x23	0xFA0F
0x24	0xFA10
0x25	0x589E
0x26	0x5BEC
0x27	0x5CF5
0x28	0x5D53
0x29	0xFA11
0x2A	0x5FB7
0x2B	0x6085
0x2C	0x6120
0x2D	0x654E
0x2F	0x6665
0x30	0xFA12
0x31	0xF929
0x32	0x6801
0x33	0xFA13
0x34	0xFA14
0x35	0x6A6B
0x36	0x6AE2
0x37	0x6DF8
0x38	0x6DF2
0x39	0x7028
0x3A	0xFA15
0x3B	0xFA16
0x3C	0x7501
0x3D	0x7682
0x3E	0x769E
0x3F	0xFA17
0x40	0x7930
0x41	0xFA18
0x42	0xFA19
0x43	0xFA1A
0x44	0xFA1B
0x45	0x7AE7
0x46	0xFA1C
0x47	0xFA1D
0x48	0x7DA0
0x49	0x7DD6
0x4A	0xFA1E
0x4B	0x8362
0x4C	0xFA1F
0x4D	0x85B0
0x4E	0xFA20
0x4F	0xFA21
0x50	0x8807
0x51	0xFA22
0x52	0x8B7F
0x53	0x8CF4
0x54	0x8D76
0x55	0xFA23
0x56	0xFA24
0x57	0xFA25
0x58	0x90DE
0x59	0xFA26
0x5A	0x9115
0x5B	0xFA27
0x5C	0xFA28
0x5D	0x9592
0x5E	0xF9DC
0x5F	0xFA29
0x60	0x973B
0x62	0x9751
0x63	0xFA2A
0x64	0xFA2B
0x65	0xFA2C
0x66	0x999E
0x67	0x9AD9
0x68	0x9B72
0x69	0xFA2D
0x6A	0x9ED1
0xA1	0x974D
